row_index,title,singer,cache_key,cache_hit,cache_valid,cache_status,cache_genre,action
0,01. BINZ - HỒN LỠ SA VÀO (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,binz - hồn lỡ sa vào (ft. triple d)||binz da poet,True,True,MISSING_ORIGINAL,rap việt|edm việt|hip hop|rap,SKIP
1,01 LẦN ( KHÔNG MỘT LẦN ) - PHÁT HUY T4 || MV OFFICIAL,Phát Huy T4,lần ( không một lần ) - phát huy t4||phát huy t4,True,True,MISSING_ORIGINAL,v-pop|pop|latin,SKIP
2,02. BINZ - CHƯA YÊU LẦN NAO (ft. KRISS NGO) | OFFICIAL LYRICS VIDEO,Binz Da Poet,binz - chưa yêu lần nao (ft. kriss ngo)||binz da poet,True,True,MISSING_ORIGINAL,rap việt|edm việt|hip hop|rap,SKIP
3,02 Mơ Làm Ma,Ngọt,mơ làm ma||ngọt,True,True,MISSING_ORIGINAL,v-pop|indie pop|pop|pop rock,SKIP
4,03. BINZ - ĐÊM VŨ TRƯỜNG (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,binz - đêm vũ trường (ft. triple d)||binz da poet,True,True,MISSING_ORIGINAL,rap việt|edm việt|hip hop|rap,SKIP
5,05 (Không Phai) (Masew Remix),Tăng Duy Tân,(không phai) (masew remix)||tăng duy tân,True,True,DIFFERENT,edm việt|pop,SKIP
6,05 (Không Phai) | @tangduytan  x T.R.I x Phong Max ( phiên bản Phong Max ),Phong Max Official,(không phai) | @tangduytan x t.r.i x phong max ( phiên bản phong max )||phong max,True,False,MISSING_ORIGINAL,pop,RECHECK
7,055 - Gullivers Reisen (Teil 25),Die Originale,- gullivers reisen (teil 25)||die originale,True,True,MISSING_ORIGINAL,spoken word,SKIP
8,"07. Thôi Em Đừng Đi - RPT MCK ( ft. Trung Trần ) | "" 99% "" the album",MCK // Nger,thôi em đừng đi - rpt mck ( ft. trung trần )||mck,True,True,MATCH,hip hop|rap|rap việt,SKIP
9,1 2 3 4,Release - Topic,1 2 3 4||release,True,True,MISSING_ORIGINAL,pop latino|dance việt|electronic|rock|pop|pop rock|synthpop,SKIP
10,1 Phút,Andiez Music,1 phút||andiez music,True,True,MATCH,pop|v-pop,SKIP
11,1 Phút - Andiez,Andiez Music,1 phút - andiez||andiez music,True,True,MISSING_ORIGINAL,pop|v-pop,SKIP
12,10 Năm Chữ Tình Chữ Nghĩa,"Lê Như, Khưu Huy Vũ","10 năm chữ tình chữ nghĩa||lê như, khưu huy vũ",True,True,MATCH,country|trữ tình,SKIP
13,100 Years Love | NamDuc | Official Audio,NamDuc Official,100 years love | namduc||namduc,True,True,MATCH,pop|v-pop,SKIP
14,100 Years Love (Orinn Remix) - NamDuc | Nhạc EDM TikTok Gây Nghiện 2020,Orinn Mix,100 years love (orinn remix) - namduc | nhạc edm tiktok gây nghiện 2020||orinn mix,True,False,NOT_FOUND,,RECHECK
15,11:11,MiiNa - Topic,11:11||miina,True,True,MATCH,pop|v-pop|electronic|rock|alternative rock|downtempo|ambient,SKIP
16,12 Bến Nước,Cam Ly,12 bến nước||cam ly,True,True,MISSING_ORIGINAL,pop|folk|world|country,SKIP
17,1234 | OFFICIAL MV FULL | CHI DÂN |MV HD,Chi Dân,1234||chi dân,True,True,MISSING_ORIGINAL,pop|v-pop|rock|indie rock,SKIP
18,16 Typh x GONZO - Berlin 3AM (Official MV),16 Typh,16 typh x gonzo - berlin 3am (official mv)||16 typh,True,False,NOT_FOUND,,RECHECK
19,1nG - Thời Giờ | Prod. @kayteelibrae  (Official MV),1nG,1ng - thời giờ | prod. @kayteelibrae (official mv)||1ng,True,False,DIFFERENT,alternative,RECHECK
20,"2 Người Chia Tay 4 Người Hạnh Phúc | Hà Anh, Sixkie Dawgz, Eska | OFFICIAL MV",HAY Music,"2 người chia tay 4 người hạnh phúc | hà anh, sixkie dawgz, eska||hay music",True,True,MISSING_ORIGINAL,v-pop,SKIP
21,2 Phut Hon Funk,mgd,2 phut hon funk||mgd,True,True,MISSING_ORIGINAL,dance|electronic,SKIP
22,2 Phút Hơn (KAIZ Remix),Pháo Northside,2 phút hơn (kaiz remix)||pháo northside,True,True,MATCH,dance|edm việt,SKIP
23,24h,LyLy Official,24h||lyly,True,True,DIFFERENT,pop|v-pop,SKIP
24,24H | OFFICIAL MUSIC VIDEO |  LYLY ft MAGAZINE,LyLy Official,24h||lyly,True,True,DIFFERENT,pop|v-pop,SKIP
25,"24K.RIGHT - KHÓA CHÂN [Feat. MASON NGUYỄN, NAM COCAIN, TUANN] (Official Visualizer)",24kRight,"24k.right - khóa chân [feat. mason nguyễn, nam cocain, tuann] (official visualizer)||24kright",True,False,NOT_FOUND,,RECHECK
26,2AM - JustaTee  feat Big Daddy Official Audio,JustaTeeMusic,2am - justatee feat big daddy official audio||justateemusic,True,False,MISSING_ORIGINAL,house,RECHECK
27,[2G17]  BÁT QUÁI - G.FAMILY | OFFICIAL AUDIO,G - FAMILY,[2g17] bát quái - g.family||g - family,True,True,MISSING_ORIGINAL,rap việt,SKIP
