record_id,title,artist,genre_found,source_type,source_url,source_title,source_artist,match_score,confidence,evidence,status,zing_id,zing_url,youtube_url,genre_search_dc,genre_source,genre_status,genre_confidence
song_7016b77714dd4cb5,05 (Không Phai) (Masew Remix),Tăng Duy Tân,Dance,apple_music_search,https://music.apple.com/vn/album/05-kh%C3%B4ng-phai-masew-remix/1786337063?i=1786337180&uo=4,05 (Không Phai) [Masew Remix],"Tăng Duy Tân, T.R.I, Phong Max & Masew",0.857,low,primaryGenreName=Dance; title_score=1.000; artist_score=0.522,found_needs_review,,,https://www.youtube.com/watch?v=pS_p-MEODS4,edm việt|pop,zingmp3|apple_music,DIFFERENT,HIGH
song_cc8be6f5e0c500bb,1nG - Thời Giờ | Prod. @kayteelibrae  (Official MV),1nG,V-Pop,zingmp3_title_artist_search,https://zingmp3.vn/bai-hat/Thoi-Gio-1nG-KayTee/BrP1p3qpjdsC.html,Thời Giờ,"1nG, KayTee",0.865,low,"[{""id"":""el0RHYY9aI0v"",""name"":""Việt Nam"",""title"":""Việt Nam"",""alias"":""viet-nam"",""link"":""/the-loai-album/Viet-Nam/el0RHYY9aI0v.html""},{""id"":""iawjijA80yVd"",""name"":""V-Pop"",""title"":""V-Pop"",""alias"":""v-pop"",""link"":""/the-loai-album/V-Pop/iawjijA80yVd.html""}]; title_score=1.000; artist_score=0.462",found_needs_review,,,https://www.youtube.com/watch?v=aIFXVLaYdmg,alternative,shazam,DIFFERENT,LOW
song_d54777b225b687dc,24H | OFFICIAL MUSIC VIDEO |  LYLY ft MAGAZINE,LyLy Official,Rap Việt,youtube_description,https://www.youtube.com/watch?v=IpniN1Wq68Y,24H | OFFICIAL MUSIC VIDEO |  LYLY ft MAGAZINE,LyLy Official,1.0,medium,#lylymv24h #mv24h #24hofficial #24hmusicvideo #lylyofficial #24hlyly #lylymv #lylycover #24magazine #rap Các bạn đăng ký kênh và bấm chuông để nhận thông báo video mới của Ly Ly nhé! Click for subscribe: https://popsww.com/lylyofficial ---- ☆ Vui lòng không reupload video của Ly Ly ☆ Mọi vấn đề liên quan đến bản quy,found_needs_review,,,https://www.youtube.com/watch?v=IpniN1Wq68Y,pop|v-pop,apple_music|zingmp3,DIFFERENT,HIGH
song_02fda9083be70a7e,3 Doors Down - Here Without You (Official Music Video),3doorsdown,Âu Mỹ | Pop,zingmp3_title_artist_search,https://zingmp3.vn/bai-hat/Here-Without-You-3-Doors-Down/ObQKmXRsz1VU.html,Here Without You,3 Doors Down,0.977,medium,"[{""id"":""q3564DMx4CZN"",""name"":""Âu Mỹ"",""title"":""Âu Mỹ"",""alias"":""au-my"",""link"":""/the-loai-album/Au-My/q3564DMx4CZN.html""},{""id"":""a72TM8ldqZjJ"",""name"":""Pop"",""title"":""Pop"",""alias"":""pop"",""link"":""/the-loai-album/Pop/a72TM8ldqZjJ.html""}]; title_score=1.000; artist_score=0.909",found_needs_review,,,https://www.youtube.com/watch?v=kPBzTxZQG5Q,rock,apple_music,DIFFERENT,HIGH
song_9e8734f22470b025,"3107 4 (feat. Erik, Nâu)",W/n,Pop,apple_music_search,https://music.apple.com/vn/album/3107-4-feat-erik-n%C3%A2u/1636837635?i=1636838045&uo=4,"3107 4 (feat. Erik, Nâu)",W/N,1.0,medium,primaryGenreName=Pop; title_score=1.000; artist_score=1.000,found_needs_review,,,https://www.youtube.com/watch?v=CT2PYtRe1SQ,rock|hard rock|v-pop,discogs|zingmp3,DIFFERENT,HIGH
song_9453f7df25340372,365 DABAND- HAI CÔ TIÊN ( DANCE VERSION)[OFFICIAL],Studio68,Nhạc Phim,youtube_description,https://www.youtube.com/watch?v=3yKlZzMQMj8,365 DABAND- HAI CÔ TIÊN ( DANCE VERSION)[OFFICIAL],Studio68,1.0,medium,OST phim 'Ngày nảy ngày Nay' - Dự kiến khởi chiếu 06.02.2015 HAI CÔ TIÊN REMIX (ft. Clownd Hoàng) Executive Producer NGÔ THANH VÂN TRẦN NGUYỄN THẢO NGUYỄN Producer ISAAC 365DABAND Line p,found_needs_review,,,https://www.youtube.com/watch?v=3yKlZzMQMj8,pop,apple_music,DIFFERENT,HIGH
song_43d85550b88dfb25,365DABAND - BỐNG BỐNG BANG BANG | OFFICIAL MV (TẤM CÁM: CHUYỆN CHƯA KỂ OST),Studio68,Nhạc Phim,youtube_description,https://www.youtube.com/watch?v=BwN3NiZt-PU,365DABAND - BỐNG BỐNG BANG BANG | OFFICIAL MV (TẤM CÁM: CHUYỆN CHƯA KỂ OST),Studio68,1.0,medium,"BỐNG BỐNG BANG BANG (TẤM CÁM: CHUYỆN CHƯA KỂ OST) Executive Producers: NGÔ THANH VÂN - TRẦN NGUYỄN THẢO NGUYÊN Producer: GIANG HỒ Co – Producer: HUYỀN HUỲNH Composer: ONLY C Mixed By: NGUYỄN PHÚC THIỆN , ONLY C Director: KHƯƠNG VŨ D.O.P: TINO NGUYỄN Camera man: LE",found_needs_review,,,https://www.youtube.com/watch?v=BwN3NiZt-PU,v-pop,zingmp3,DIFFERENT,HIGH
song_d49de813d86beb40,7dnight - Cơm Áo Gạo Tiền (Official Video),7dnight,Rap Việt,youtube_description,https://www.youtube.com/watch?v=0HeFKcZzvr0,7dnight - Cơm Áo Gạo Tiền (Official Video),7dnight,1.0,medium,bọn mày sợ cái chó gì vứt đi đống tiêu cực đó sang 1 bên bắt tay vào làm thì có khó gì là một thằng hiphop thì phải có tinh thần của 1 thằng real shjttt đứng dậy - sau khi vấp ngã - điều đầu tiên bọn mày phải tích - góp muốn là kích chốt - bọn tao muốn - là kích chốt okay x5 outro : bây có thể vào đời bằng 2 bàn tay,found_needs_review,,,https://www.youtube.com/watch?v=0HeFKcZzvr0,rap,apple_music,DIFFERENT,HIGH
song_0bfeee343df44cb3,AC/DC - Back In Black (Official 4K Video),AC/DC,Rock Việt,youtube_description,https://www.youtube.com/watch?v=pAgnJDJN4VA,AC/DC - Back In Black (Official 4K Video),AC/DC,1.0,medium,"es I'm back Well, I'm back, back Well, I'm back in black Yes, I'm back in black #ACDC #BackInBlack #Rock #HD #Remastered",found_needs_review,,,https://www.youtube.com/watch?v=pAgnJDJN4VA,hard rock,apple_music,DIFFERENT,HIGH
song_72f58d8ba213fe2c,AC/DC - Hells Bells (Official 4K Video),AC/DC,Rock Việt,youtube_description,https://www.youtube.com/watch?v=etAIpkdhU9Q,AC/DC - Hells Bells (Official 4K Video),AC/DC,1.0,medium,got me ringing Hell's bells My temperature's high Hell's bells #ACDC #HellsBells #OfficialHDVideo #Rock,found_needs_review,,,https://www.youtube.com/watch?v=etAIpkdhU9Q,hard rock,apple_music,DIFFERENT,HIGH
