record_id,title,artist,genre_found,source_type,source_url,source_title,source_artist,match_score,confidence,evidence,status,zing_id,zing_url,youtube_url,genre_search_dc,genre_source,genre_status,genre_confidence
song_8a967cbba1927d32,01. BINZ - HỒN LỠ SA VÀO (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=-oaInOiczXc,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_6e3004f9a2449456,01 LẦN ( KHÔNG MỘT LẦN ) - PHÁT HUY T4 || MV OFFICIAL,Phát Huy T4,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=AZcJJs1fANg,v-pop|pop|latin,zingmp3|apple_music|nhac_vn,MISSING_ORIGINAL,HIGH
song_c180f3c5bc2be547,02. BINZ - CHƯA YÊU LẦN NAO (ft. KRISS NGO) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=dClUPnFaz9g,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_ab8a4df5db589304,02 Mơ Làm Ma,Ngọt,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=AchhLf6Ax-U,v-pop|indie pop|pop|pop rock,zingmp3|apple_music|discogs|musicbrainz,MISSING_ORIGINAL,HIGH
song_e343f1502dfdda5d,03. BINZ - ĐÊM VŨ TRƯỜNG (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=Gv5GlyTvCpc,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_c0b173615f143bee,05 (Không Phai) | @tangduytan  x T.R.I x Phong Max ( phiên bản Phong Max ),Phong Max Official,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=WAg0jKqgmuI,pop,allmusic,MISSING_ORIGINAL,LOW
song_ab80966d0cb3f9a6,055 - Gullivers Reisen (Teil 25),Die Originale,Âu Mỹ,zingmp3_api,https://zingmp3.vn/bai-hat/055-Gullivers-Reisen-Teil-25-Die-Originale/M1QmNMtzrD91.html,055 - Gullivers Reisen (Teil 25),Die Originale,1.0,high,"[{""id"":""q3564DMx4CZN"",""name"":""Âu Mỹ"",""title"":""Âu Mỹ"",""alias"":""au-my"",""link"":""/the-loai-album/Au-My/q3564DMx4CZN.html""}]",found,ZWA89UIU,https://zingmp3.vn/bai-hat/055-Gullivers-Reisen-Teil-25-Die-Originale/ZWA89UIU.html,,spoken word,apple_music,MISSING_ORIGINAL,HIGH
song_6a3834e29fb71bbd,1 2 3 4,Release - Topic,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=rl9HS7TZits,pop latino|dance việt|electronic|rock|pop|pop rock|synthpop,apple_music|zingmp3|discogs,MISSING_ORIGINAL,HIGH
song_b1773e242d74420a,1 Phút - Andiez,Andiez Music,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=dLQe4qEfVJw,pop|v-pop,apple_music|zingmp3,MISSING_ORIGINAL,HIGH
song_0b5631ae38a716bf,12 Bến Nước,Cam Ly,,,,,,,,,not_found,ZWZCW7OU,https://zingmp3.vn/bai-hat/12-Ben-Nuoc-Cam-Ly/ZWZCW7OU.html,,pop|folk|world|country,apple_music|discogs,MISSING_ORIGINAL,HIGH
song_c1fac8dc042c6b43,1234 | OFFICIAL MV FULL | CHI DÂN |MV HD,Chi Dân,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=RneMEagAkcE,pop|v-pop|rock|indie rock,apple_music|zingmp3|discogs,MISSING_ORIGINAL,HIGH
song_d37334c32921c788,"2 Người Chia Tay 4 Người Hạnh Phúc | Hà Anh, Sixkie Dawgz, Eska | OFFICIAL MV",HAY Music,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=nFEJVh12gSo,v-pop,zingmp3,MISSING_ORIGINAL,HIGH
song_2c944eb885cb880c,2 Phut Hon Funk,mgd,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=dwattiWiacs,dance|electronic,apple_music|zingmp3,MISSING_ORIGINAL,HIGH
song_dc0f73e636a6f4f8,2AM - JustaTee  feat Big Daddy Official Audio,JustaTeeMusic,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=XGrvLJG8tuM,house,web_search,MISSING_ORIGINAL,LOW
song_a0f44af34836c179,[2G17]  BÁT QUÁI - G.FAMILY | OFFICIAL AUDIO,G - FAMILY,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=eYNvcr50GE8,rap việt,zingmp3,MISSING_ORIGINAL,HIGH
song_f1c1d361368584e6,[2G17] Mấy con mèo - Datmaniac,G - FAMILY,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=QFZEqDdzoPo,rap việt,zingmp3,MISSING_ORIGINAL,HIGH
song_5ffbad1b6e64f53e,2h - MCK,MCK // Nger,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=mbEZ_9dhM_Y,pop|rock|viking metal,apple_music|discogs,MISSING_ORIGINAL,HIGH
song_49a0497cb7f1dbfc,2T - LIỆU GIỜ ( WHAT IF ? ) x Venn ( Prod. KayT ) | M/V,2T // Mirror,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=ss3NJ7uopjc,rock|alternative rock,discogs,MISSING_ORIGINAL,HIGH
song_7bf03e45ad316c20,3 Doors Down - Kryptonite (Official Video),3doorsdown,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=xPU8OAjjS4k,rock,apple_music,MISSING_ORIGINAL,HIGH
song_bfc4707034451c44,3107,W/n,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=otr8lLZILxY,electronic|hardcore|techno|acid|v-pop,apple_music|discogs|zingmp3,MISSING_ORIGINAL,HIGH
song_6635ec73d36d871f,365DABAND - ANH SỢ MẤT EM M/V [official],Studio68,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=4DWNlfXd0hM,house,allmusic,MISSING_ORIGINAL,LOW
song_39dd760df1840659,365Daband - HAI CÔ TIÊN (Ngày Nảy Ngày Nay OST),Studio68,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=Yr-fcbYVH3g,pop,apple_music,MISSING_ORIGINAL,HIGH
song_067fc44c0a6817af,365daband - NO LOVE NO LIFE (Nơi Anh Không Thuộc về),Studio68,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=pnEBCayEldo,jazz|electronic,nhac_vn|allmusic,MISSING_ORIGINAL,HIGH
song_908969d56fa282ba,"#3D Do Em, Do Anh, Do Ai - Will x Andiez | Official Music Video",Will Official,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=GKg4x5H5TZI,v-pop,zingmp3,MISSING_ORIGINAL,HIGH
song_ea06e9ae4301dd51,6262 (prod. Maiki) | Low G | Nhà Hoá Học Đống Đa,Nhà Hóa Học Đống Đa,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=2nFfVsSy0JU,alternative|experimental|country,nhaccuatui|nhac_vn,MISSING_ORIGINAL,HIGH
song_1f18b97452fc208e,7dnight - 37 ĐÂY NÀY ft Eo$r / 37SOUND (Official Video),37Sound,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=Wb3G0T9fH7s,alternative,nhac_vn,MISSING_ORIGINAL,LOW
song_0d35f2ffc71128e7,A-Gon - Brood,HearWeGo,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=q6xJAb7rFxw,latin,nhaccuatui|shazam|nhac_vn|qobuz|allmusic|youtube,MISSING_ORIGINAL,HIGH
