record_id,title,artist,genre_found,source_type,source_url,source_title,source_artist,match_score,confidence,evidence,status,zing_id,zing_url,youtube_url,genre_search_dc,genre_source,genre_status,genre_confidence
song_8a967cbba1927d32,01. BINZ - HỒN LỠ SA VÀO (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=-oaInOiczXc,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_6e3004f9a2449456,01 LẦN ( KHÔNG MỘT LẦN ) - PHÁT HUY T4 || MV OFFICIAL,Phát Huy T4,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=AZcJJs1fANg,v-pop|pop|latin,zingmp3|apple_music|nhac_vn,MISSING_ORIGINAL,HIGH
song_c180f3c5bc2be547,02. BINZ - CHƯA YÊU LẦN NAO (ft. KRISS NGO) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=dClUPnFaz9g,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_ab8a4df5db589304,02 Mơ Làm Ma,Ngọt,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=AchhLf6Ax-U,v-pop|indie pop|pop|pop rock,zingmp3|apple_music|discogs|musicbrainz,MISSING_ORIGINAL,HIGH
song_e343f1502dfdda5d,03. BINZ - ĐÊM VŨ TRƯỜNG (ft. TRIPLE D) | OFFICIAL LYRICS VIDEO,Binz Da Poet,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=Gv5GlyTvCpc,rap việt|edm việt|hip hop|rap,zingmp3|apple_music|nhaccuatui|nhac_vn|shazam|allmusic|qobuz|youtube,MISSING_ORIGINAL,HIGH
song_7016b77714dd4cb5,05 (Không Phai) (Masew Remix),Tăng Duy Tân,Dance,apple_music_search,https://music.apple.com/vn/album/05-kh%C3%B4ng-phai-masew-remix/1786337063?i=1786337180&uo=4,05 (Không Phai) [Masew Remix],"Tăng Duy Tân, T.R.I, Phong Max & Masew",0.857,low,primaryGenreName=Dance; title_score=1.000; artist_score=0.522,found_needs_review,,,https://www.youtube.com/watch?v=pS_p-MEODS4,edm việt|pop,zingmp3|apple_music,DIFFERENT,HIGH
song_c0b173615f143bee,05 (Không Phai) | @tangduytan  x T.R.I x Phong Max ( phiên bản Phong Max ),Phong Max Official,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=WAg0jKqgmuI,pop,allmusic,MISSING_ORIGINAL,LOW
song_ab80966d0cb3f9a6,055 - Gullivers Reisen (Teil 25),Die Originale,Âu Mỹ,zingmp3_api,https://zingmp3.vn/bai-hat/055-Gullivers-Reisen-Teil-25-Die-Originale/M1QmNMtzrD91.html,055 - Gullivers Reisen (Teil 25),Die Originale,1.0,high,"[{""id"":""q3564DMx4CZN"",""name"":""Âu Mỹ"",""title"":""Âu Mỹ"",""alias"":""au-my"",""link"":""/the-loai-album/Au-My/q3564DMx4CZN.html""}]",found,ZWA89UIU,https://zingmp3.vn/bai-hat/055-Gullivers-Reisen-Teil-25-Die-Originale/ZWA89UIU.html,,spoken word,apple_music,MISSING_ORIGINAL,HIGH
song_131cb6537c89d002,"07. Thôi Em Đừng Đi - RPT MCK ( ft. Trung Trần ) | "" 99% "" the album",MCK // Nger,Rap Việt,zingmp3_title_artist_search,https://zingmp3.vn/bai-hat/Thoi-Em-Dung-Di-MCK-Trung-Tran/IjP70hBNvroc.html,Thôi Em Đừng Đi,"MCK, Trung Trần",0.909,medium,"[{""id"":""el0RHYY9aI0v"",""name"":""Việt Nam"",""title"":""Việt Nam"",""alias"":""viet-nam"",""link"":""/the-loai-album/Viet-Nam/el0RHYY9aI0v.html""},{""id"":""TqW0gmJ1dR5O"",""name"":""Rap Việt"",""title"":""Rap Việt"",""alias"":""rap-viet"",""link"":""/the-loai-album/Rap-Viet/TqW0gmJ1dR5O.html""}]; title_score=1.000; artist_score=0.636",found_needs_review,,,https://www.youtube.com/watch?v=6fzH7a3XQW0,hip hop|rap|rap việt,apple_music|zingmp3,MATCH,HIGH
song_6a3834e29fb71bbd,1 2 3 4,Release - Topic,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=rl9HS7TZits,pop latino|dance việt|electronic|rock|pop|pop rock|synthpop,apple_music|zingmp3|discogs,MISSING_ORIGINAL,HIGH
song_7ff2420e946b6936,1 Phút,Andiez Music,Pop,apple_music_search,https://music.apple.com/vn/album/1-ph%C3%BAt/6767723264?i=6767723268&uo=4,1 Phút,Andiez,0.9,medium,primaryGenreName=Pop; title_score=1.000; artist_score=0.667,found_needs_review,,,https://www.youtube.com/watch?v=asL4uzDeenw,pop|v-pop,apple_music|zingmp3,MATCH,HIGH
song_b1773e242d74420a,1 Phút - Andiez,Andiez Music,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=dLQe4qEfVJw,pop|v-pop,apple_music|zingmp3,MISSING_ORIGINAL,HIGH
song_f324a58cb4f80c99,10 Năm Chữ Tình Chữ Nghĩa,"Lê Như, Khưu Huy Vũ",Nhạc Trữ Tình,zingmp3_api,https://zingmp3.vn/bai-hat/10-Nam-Chu-Tinh-Chu-Nghia-Le-Nhu-Khuu-Huy-Vu/g5CpSKo0pGl2.html,10 Năm Chữ Tình Chữ Nghĩa,"Lê Như, Khưu Huy Vũ",1.0,high,"[{""id"":""el0RHYY9aI0v"",""name"":""Việt Nam"",""title"":""Việt Nam"",""alias"":""viet-nam"",""link"":""/the-loai-album/Viet-Nam/el0RHYY9aI0v.html""},{""id"":""brC6BYOzAGjo"",""name"":""Nhạc Trữ Tình"",""title"":""Nhạc Trữ Tình"",""alias"":""nhac-tru-tinh"",""link"":""/the-loai-album/Nhac-Tru-Tinh/brC6BYOzAGjo.html""}]",found,Z7O67ECB,https://zingmp3.vn/bai-hat/10-Nam-Chu-Tinh-Chu-Nghia-Le-Nhu-Khuu-Huy-Vu/Z7O67ECB.html,,country|trữ tình,apple_music|zingmp3,MATCH,HIGH
song_f6afbb5fa4bdef40,100 Years Love | NamDuc | Official Audio,NamDuc Official,V-Pop,zingmp3_title_artist_search,https://zingmp3.vn/bai-hat/100-Years-Love-NamDuc/nQyQj2QgLgoT.html,100 Years Love,NamDuc,0.768,low,"[{""id"":""el0RHYY9aI0v"",""name"":""Việt Nam"",""title"":""Việt Nam"",""alias"":""viet-nam"",""link"":""/the-loai-album/Viet-Nam/el0RHYY9aI0v.html""},{""id"":""iawjijA80yVd"",""name"":""V-Pop"",""title"":""V-Pop"",""alias"":""v-pop"",""link"":""/the-loai-album/V-Pop/iawjijA80yVd.html""}]; title_score=0.833; artist_score=0.571",found_needs_review,,,https://www.youtube.com/watch?v=iOSgevKhWRQ,pop|v-pop,apple_music|zingmp3,MATCH,HIGH
song_b39975927811822c,100 Years Love (Orinn Remix) - NamDuc | Nhạc EDM TikTok Gây Nghiện 2020,Orinn Mix,,,,,,,,,not_found,,,https://www.youtube.com/watch?v=47ahoiV9qGY,,,NOT_FOUND,0
